[GWUT file version 1.60]
[AIRCRAFT]
0,AH-64D Apache Longbow,1, , , , , , , ,5,2,2,4,3.83,2.96,15,100,0.5,2000,72.2222,15,15,-21.3,2,3.57,0,3.5,-1,-4,0,45,180,1,15,58.86,14,-57.2958,5000,3,5000,4000,1,1,10,1108,10,1,7.315,1200,2,2,1,1,200,8
1,Mi-28N Havoc B,1, , , , , , , ,5,2,2,4,3.76,2.71,15,100,0.5,2000,73.6111,15,15,24,2.4,6.41,0,6.5,1,-4,0,45,180,1,15,58.86,16.8,-57.2958,5000,3,5000,4000,1,1,10,1337,10,1,8.6,1200,2,2,1,1,200,8
2,RAH-66 Comanche,1, , , , , , , ,5,2,2,4,3.05,3,15,100,0.5,2000,76.3888,15,15,0,-1,2.54,0,3.5,-1,-1,0,45,180,1,15,58.86,14.3,-57.2958,5000,3,5000,4000,1,1,10,890,10,1,5.95,900,2,2,1,1,200,5
3,Ka-52 Alligator,1, , , , , , , ,5,2,2,4,3.93,3.25,15,100,0.5,2000,75,15,15,16,0,-0.03,0,3.5,-1,-4,0,45,180,1,15,58.86,15.2,0,5000,3,5000,4000,1,1,10,1487,10,1,7.25,1200,2,2,1,1,200,8
4,UH-60L Blackhawk,1, , , , , , , ,5,2,2,4,3.16,3.35,15,100,0.5,2000,74.4444,24,20,0,6.9,-0.68,0,2.5,-1,-4,0,45,180,1,15,58.86,12.6,-57.2958,5000,3,5000,4000,0.8,1,10,1062,10,1,8.18,800,2,2,1,1,150,3
5,Mi-24V Hind,1, , , , , , , ,5,2,2,0,3.9,3.25,15,100,0.5,2000,75,15,15,14.4,4.6,5.44,0,4.5,1,-4,0,45,180,1,15,58.86,13,-57.2958,5000,3,5000,4000,0.8,1,10,1720,10,1,8.65,1000,2,2,1,1,150,5
6,CH-46E Sea Knight,1, , , , , , , ,5,2,3,0,4.5958,3.76,15,100,0.5,2000,71.1111,40,40,0,0,3,0,3.5,-1,-4,0,45,180,1,15,58.86,11,0,3000,3,0,2000,0,0,10,1156,10,1,7.62,800,2,3,0,0,50,3
7,Ka-29 Helix B,1, , , , , , , ,5,2,2,0,3.57,3.02,15,100,0.5,2000,63.3888,24,20,0,0,0.75,0,3.5,-1,-4,0,45,180,1,15,58.86,12,0,5000,3,0,2000,0,1,10,2550,10,1,7.9,800,2,2,1,0,75,3
8,CH-3 Jolly Green Giant,1, , , , , , , ,5,2,3,0,4.54,3.9,15,100,0.5,2000,68.8888,40,40,9.5,-0.9,1.9,0,3,-1,-4,0,45,180,1,15,58.86,10.2,-57.2958,3000,3,0,2000,0,0,10,1684,10,1,9.45,800,2,3,0,0,50,3
9,Mi-17 Hip,1, , , , , , , ,5,2,2,0,4.35,4,15,100,0.5,2000,66.6666,40,40,0,-7.2,6.65,0,4.75,1,-4,0,30,180,1,15,58.86,10.4,-57.2958,5000,3,0,2000,0,1,10,2390.7,10,1,10.625,800,2,2,1,0,50,3
